City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
skjervoy,70.0311,20.9714,50.0,77.0,97.0,35.23,NO
barbacena,-21.2258,-43.7736,65.61,16.0,0.0,12.39,BR
hirado,33.3597,129.5531,75.38,79.0,89.0,4.27,JP
gornoye loo,43.7129,39.6049,82.18,75.0,0.0,5.3,RU
bowen,-20.0167,148.2333,60.71,85.0,7.0,5.44,AU
hirara,24.8,125.2833,83.8,79.0,39.0,18.61,JP
taoudenni,22.6783,-3.9836,119.21,5.0,67.0,4.32,ML
chicama,-7.8447,-79.1469,72.54,63.0,35.0,9.62,PE
ranong,9.9658,98.6348,80.28,87.0,100.0,13.96,TH
esperance,-33.8667,121.9,56.46,78.0,99.0,9.19,AU
safranbolu,41.2508,32.6942,79.3,73.0,47.0,4.0,TR
cidreira,-30.1811,-50.2056,54.81,66.0,68.0,20.85,BR
atar,20.5169,-13.0499,114.01,7.0,75.0,17.18,MR
taltal,-25.4,-70.4833,65.66,62.0,79.0,5.28,CL
marystown,47.1666,-55.1483,67.06,62.0,99.0,5.86,CA
copperas cove,31.1241,-97.9031,91.94,66.0,75.0,5.75,US
storforshei,66.4043,14.5233,49.78,87.0,75.0,10.36,NO
clyde river,70.4692,-68.5914,38.71,64.0,100.0,2.08,CA
east london,-33.0153,27.9116,67.66,35.0,0.0,5.12,ZA
saint-raymond,45.467,-73.6095,86.09,61.0,66.0,7.23,CA
uruzgan,32.8333,66.0,84.52,20.0,1.0,3.38,AF
qiongshan,20.0058,110.3542,82.74,77.0,100.0,4.43,CN
nakhon phanom,17.3333,104.4167,75.42,90.0,100.0,7.29,TH
port-gentil,-0.7193,8.7815,74.59,79.0,18.0,14.5,GA
marcona,,,,,,,
bathsheba,13.2167,-59.5167,83.3,71.0,68.0,19.98,BB
kerouane,9.2667,-9.0167,80.17,80.0,95.0,1.48,GN
kracheh,,,,,,,
abnub,27.2696,31.1511,100.87,13.0,0.0,10.29,EG
charkhi dadri,28.6,76.2667,80.62,86.0,100.0,1.79,IN
augusto correa,-1.0217,-46.635,84.97,70.0,66.0,5.12,BR
bria,6.5423,21.9863,71.17,92.0,86.0,1.74,CF
port macquarie,-31.4333,152.9167,40.89,72.0,8.0,6.49,AU
merauke,-8.4667,140.3333,75.7,84.0,63.0,12.28,ID
lima,-12.0432,-77.0282,65.89,81.0,35.0,11.07,PE
viedma,-40.8135,-62.9967,59.97,20.0,55.0,15.66,AR
caravelas,-17.7125,-39.2481,81.14,60.0,1.0,10.11,BR
kruisfontein,-34.0033,24.7314,57.88,86.0,24.0,10.54,ZA
kaili,-3.4626,120.2147,67.03,90.0,72.0,2.46,ID
najran,17.4924,44.1277,82.15,44.0,100.0,10.98,SA
geraldton,-28.7667,114.6,57.61,88.0,90.0,13.8,AU
ban nahin,18.2418,104.2122,75.22,98.0,100.0,2.91,LA
nizhneyansk,,,,,,,
tungkang,,,,,,,
pacific grove,36.6177,-121.9166,82.17,88.0,40.0,3.0,US
bethel,41.3712,-73.414,76.28,79.0,90.0,6.91,US
roald,62.5833,6.1333,62.11,82.0,75.0,18.41,NO
zaoyang,32.1272,112.7542,74.44,96.0,100.0,1.48,CN
moerai,-22.4333,-151.3333,74.7,84.0,95.0,26.71,PF
yeletskiy,,,,,,,
bloomsburg,41.0037,-76.4549,85.95,69.0,4.0,3.85,US
otane,-39.8833,176.6333,42.39,95.0,76.0,3.0,NZ
kegayli,,,,,,,
saint anthony,45.0205,-93.218,87.89,47.0,1.0,1.99,US
ossora,59.2353,163.0719,58.17,77.0,96.0,6.58,RU
ilhabela,-23.7781,-45.3581,67.39,45.0,48.0,11.52,BR
tiksi,71.6872,128.8694,52.92,92.0,82.0,10.58,RU
codrington,-38.2667,141.9667,51.58,90.0,98.0,16.49,AU
boundiali,9.5217,-6.4869,84.58,63.0,89.0,4.32,CI
lingao,19.9103,109.6859,82.69,81.0,99.0,6.2,CN
antropovo,58.3988,43.0066,73.42,67.0,93.0,4.7,RU
katsuura,35.1333,140.3,81.1,88.0,0.0,6.06,JP
campbell river,50.0163,-125.2446,69.26,64.0,4.0,2.57,CA
camacha,33.0833,-16.3333,75.52,64.0,75.0,10.36,PT
tautira,-17.7333,-149.15,71.62,80.0,100.0,23.89,PF
beringovskiy,63.05,179.3167,45.45,98.0,100.0,4.99,RU
klaksvik,62.2266,-6.589,52.72,91.0,90.0,16.44,FO
ottersberg,53.1,9.15,66.18,70.0,84.0,9.48,DE
georgetown,5.4112,100.3354,82.89,69.0,20.0,0.0,MY
kropotkin,45.4375,40.5756,88.75,35.0,0.0,4.72,RU
evensk,61.95,159.2333,52.66,74.0,92.0,9.62,RU
cahuacan,19.6392,-99.4161,63.32,53.0,26.0,4.36,MX
rocha,-34.4833,-54.3333,53.35,65.0,72.0,14.16,UY
faanui,-16.4833,-151.75,79.45,73.0,93.0,24.65,PF
bodmin,50.4715,-4.7243,82.36,54.0,0.0,9.22,GB
banda aceh,5.5577,95.3222,80.17,78.0,100.0,13.06,ID
gimli,50.6336,-96.9907,69.42,66.0,42.0,13.8,CA
sinnamary,5.3833,-52.95,80.62,83.0,56.0,9.4,GF
beloha,-25.1667,45.05,69.35,74.0,72.0,8.1,MG
tacuati,-23.45,-56.5833,60.64,26.0,100.0,4.5,PY
erzin,36.9559,36.2,84.92,70.0,0.0,6.82,TR
moranbah,-22.0016,148.0466,53.76,48.0,1.0,4.23,AU
yumen,40.2833,97.2,81.48,29.0,18.0,12.24,CN
kutum,14.2,24.6667,83.43,36.0,83.0,1.79,SD
inuvik,68.3499,-133.7218,63.75,61.0,100.0,10.36,CA
rena,61.1348,11.3641,70.83,46.0,91.0,5.5,NO
borlange,,,,,,,
botwood,49.1499,-55.3482,84.9,31.0,100.0,6.24,CA
asau,46.4333,26.4,70.75,95.0,69.0,2.77,RO
idrinskoye,54.3708,92.1358,59.02,93.0,100.0,1.68,RU
nikolskoye,59.7035,30.7861,69.69,54.0,0.0,7.36,RU
areosa,41.7178,-8.8571,77.31,78.0,8.0,10.71,PT
alekseyevka,50.6309,38.6903,82.18,57.0,0.0,7.23,RU
saint george,37.1041,-113.5841,88.27,42.0,1.0,0.0,US
mersing,2.4312,103.8405,78.17,86.0,98.0,5.99,MY
westport,41.1415,-73.3579,78.28,74.0,90.0,1.01,US
la primavera,5.4906,-70.4092,73.76,92.0,100.0,6.69,CO
suao,,,,,,,
grand-santi,4.25,-54.3833,93.97,41.0,3.0,1.99,GF
coroiesti,46.25,27.4833,73.42,51.0,75.0,4.74,RO
istok,42.7808,20.4875,74.32,79.0,89.0,4.63,XK
pisco,-13.7,-76.2167,66.02,77.0,20.0,11.5,PE
jacksonville,30.3322,-81.6556,93.42,62.0,75.0,9.22,US
palmer,42.1584,-72.3287,74.07,77.0,90.0,1.01,US
yirol,,,,,,,
bengkulu,-3.8004,102.2655,75.79,90.0,84.0,5.93,ID
yavatmal,20.4,78.1333,84.4,66.0,99.0,8.93,IN
te anau,-45.4167,167.7167,35.89,93.0,42.0,0.63,NZ
ust-maya,60.4167,134.5333,61.95,69.0,68.0,3.13,RU
faya,18.3851,42.4509,67.14,60.0,97.0,5.68,SA
nurota,40.5614,65.6886,86.09,15.0,16.0,7.63,UZ
tshikapa,-6.4167,20.8,81.93,22.0,42.0,3.2,CD
samusu,,,,,,,
mackay,-21.15,149.2,54.05,78.0,1.0,4.88,AU
cockburn town,21.4612,-71.1419,84.16,74.0,40.0,13.8,TC
tosya,41.0155,34.0401,85.59,37.0,25.0,4.0,TR
rafraf,37.1904,10.1837,84.51,77.0,0.0,18.16,TN
vila velha,-20.3297,-40.2925,76.96,72.0,68.0,12.46,BR
dianopolis,,,,,,,
basco,20.4487,121.9702,79.56,90.0,100.0,18.43,PH
kyaikto,17.3,97.0167,76.15,92.0,100.0,10.49,MM
roma,43.2128,-75.4557,82.85,66.0,1.0,9.22,US
kaeo,-35.1,173.7833,46.33,96.0,17.0,4.63,NZ
umm kaddadah,13.6017,26.6876,91.9,31.0,50.0,3.09,SD
ostrovnoy,68.0531,39.5131,52.99,75.0,96.0,8.37,RU
saint-joseph,-21.3667,55.6167,70.18,78.0,25.0,17.0,RE
general roca,-39.0333,-67.5833,54.0,18.0,98.0,9.69,AR
utraula,27.3167,82.4167,80.46,90.0,95.0,5.17,IN
labutta,,,,,,,
abu samrah,35.3029,37.1841,91.78,19.0,0.0,12.8,SY
one hundred mile house,,,,,,,
black river,18.0264,-77.8487,86.99,51.0,40.0,13.96,JM
andapa,-14.65,49.65,64.13,99.0,100.0,0.63,MG
mianyang,31.4593,104.7542,75.65,88.0,38.0,1.19,CN
cuamba,-14.8031,36.5372,69.13,52.0,98.0,4.07,MZ
ulladulla,-35.35,150.4667,50.09,63.0,4.0,12.71,AU
smithers,54.7804,-127.1743,61.99,68.0,91.0,2.42,CA
sao luis do quitunde,-9.3183,-35.5611,80.04,81.0,53.0,7.83,BR
mollendo,-17.0231,-72.0147,63.9,75.0,50.0,8.43,PE
gigmoto,13.7796,124.39,81.68,83.0,100.0,11.32,PH
komsomolskiy,40.4272,71.7189,86.72,30.0,100.0,0.0,UZ
hedaru,-4.5,37.9,71.11,53.0,94.0,6.69,TZ
waddan,29.1614,16.139,92.08,22.0,0.0,11.03,LY
scarborough,54.2797,-0.4044,78.62,78.0,83.0,4.0,GB
kavaratti,10.5669,72.642,82.29,78.0,100.0,16.06,IN
nuuk,64.1835,-51.7216,47.01,76.0,75.0,21.85,GL
moyale,3.5167,39.0584,69.55,52.0,87.0,6.04,KE
naryan-mar,67.6713,53.087,57.54,90.0,99.0,4.38,RU
middle island,40.8843,-72.9373,77.99,78.0,90.0,1.99,US
liwale,-9.7667,37.9333,73.81,45.0,70.0,6.62,TZ
cordoba,-31.4135,-64.1811,66.42,19.0,0.0,3.0,AR
hay river,60.8156,-115.7999,63.27,59.0,55.0,3.78,CA
zyryanka,65.75,150.85,52.2,53.0,98.0,10.85,RU
piacabucu,-10.4056,-36.4344,78.93,76.0,22.0,9.48,BR
rafaela,-31.2503,-61.4867,64.06,26.0,0.0,1.99,AR
otuzco,-7.9,-78.5833,32.32,34.0,0.0,2.37,PE
port blair,11.6667,92.75,81.18,85.0,100.0,18.05,IN
elbrus,43.2577,42.6443,60.91,72.0,18.0,2.86,RU
salinas,36.6777,-121.6555,82.58,72.0,40.0,5.75,US
pirgos,35.1167,25.7178,80.28,70.0,9.0,4.74,GR
hasaki,35.7333,140.8333,73.8,91.0,0.0,6.71,JP
almiros,,,,,,,
bela,25.9333,81.9833,83.86,76.0,100.0,4.43,IN
nemuro,43.3236,145.575,61.29,99.0,98.0,2.01,JP
xiongyue,40.1774,122.1228,73.13,93.0,53.0,7.29,CN
anadyr,64.75,177.4833,47.21,96.0,100.0,2.35,RU
pella,59.7775,30.8181,69.85,55.0,1.0,7.65,RU
dharchula,29.85,80.5333,72.88,94.0,100.0,1.86,IN
cranbrook,49.4999,-115.7688,81.3,23.0,1.0,2.73,CA
winnemucca,40.973,-117.7357,84.25,26.0,75.0,0.0,US
bourail,-21.5667,165.4833,67.55,84.0,100.0,4.12,NC
el fuerte,26.4189,-108.6194,90.18,49.0,90.0,1.21,MX
ballater,57.0493,-3.0402,71.82,73.0,99.0,2.17,GB
huamuxtitlan,17.8167,-98.5667,81.7,56.0,8.0,3.02,MX
wahiawa,21.5028,-158.0236,71.92,90.0,90.0,4.61,US
ciudad bolivar,8.1222,-63.5497,88.86,55.0,54.0,8.37,VE
batagay-alyta,67.8006,130.4114,54.61,77.0,100.0,5.68,RU
sigulda,57.1519,24.8647,67.77,60.0,13.0,5.99,LV
talara,-4.5772,-81.2719,75.96,69.0,40.0,11.5,PE
necochea,-38.5473,-58.7368,58.03,39.0,91.0,10.4,AR
novyy urengoy,66.0833,76.6333,55.31,75.0,83.0,9.06,RU
shimoda,34.6667,138.95,76.1,90.0,7.0,5.55,JP
cavalcante,-13.7975,-47.4583,87.84,22.0,0.0,6.96,BR
mareeba,-17.0,145.4333,67.48,91.0,90.0,2.15,AU
kavali,14.9167,79.9833,84.47,64.0,22.0,13.09,IN
